txn_type,txn_date,txn_time,start_location,end_location,line_name,start_zone,end_zone
Check out,31/10/2025,6:25:38,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:27:04,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:27:13,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:27:14,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:27:18,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:27:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:27:53,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:10,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:16,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:19,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:33,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:36,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:28:38,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:31:04,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:31:15,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:31:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:31:51,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:31:58,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:31:59,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:32:08,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:32:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:32:25,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:32:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:32:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:35:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:02,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:15,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:17,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:36:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:37:14,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:37:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:08,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:35,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:55,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:57,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:58,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:39:59,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:05,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:09,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:12,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:16,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:23,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:25,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:29,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:30,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:32,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:40:33,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:41:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:43:09,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:43:15,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:43:28,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:43:30,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:43:34,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:43:48,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:01,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:03,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:05,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:13,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:16,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:28,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:31,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:44:32,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:45:28,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:47:05,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:47:16,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:47:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:47:27,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:47:29,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:47:41,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:02,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:06,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:12,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:15,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:16,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:20,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:21,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:23,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:25,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:26,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:28,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:29,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:30,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:34,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:35,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:39,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:41,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:44,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:48:48,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:49:51,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:50:30,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:15,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:18,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:22,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:28,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:36,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,6:51:48,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
